P1,P2,T1,T2,N2,Ar,O2,a2_ref,a2_rival,d1_ref,d2_ref,d1_rival,d2_rival,H_ref,H_rival
70,70,68,68,0.5,0.5,0,0,0,32.78730213,32.78730213,32.78792106,32.78792106,0,0
70,70,68,70.04454961,0.5,0.5,0,0,0,32.78730213,32.55777027,32.78792106,32.55811565,224.7039727,137.6769618
70,70,70.04454961,72.20151826,0.5,0.5,0,0,0,32.55777027,32.30070358,32.55811565,32.30086273,200.075822,139.8447261
70,70,72.20151826,74.48170837,0.5,0.5,0,0,0,32.30070358,32.01468588,32.30086273,32.01473803,181.4654797,143.0874894
70,70,74.48170837,76.8974107,0.5,0.5,0,0,0,32.01468588,31.69773903,32.01473803,31.697757,168.2605318,147.4836921
70,70,76.8974107,79.46267512,0.5,0.5,0,0.737098593,0.678468665,31.69773903,0.147854541,31.697757,0.160562434,4558.401828,4287.528981
70,70,79.46267512,82.19364377,0.5,0.5,0,1,1,0.147854541,0.105196396,0.160562434,0.105194024,1735.833846,2137.404158
70,70,82.19364377,85.10896368,0.5,0.5,0,1,1,0.105196396,0.10132882,0.105194024,0.101326979,75.70240822,76.68515687
70,70,85.10896368,88.23030246,0.5,0.5,0,1,1,0.10132882,0.097507024,0.101326979,0.097505586,80.80762241,81.53853049
70,70,88.23030246,91.58299845,0.5,0.5,0,1,1,0.097507024,0.093725381,0.097505586,0.093724245,86.53359583,87.06157183
70,70,91.58299845,95.19688857,0.5,0.5,0,1,1,0.093725381,0.089978261,0.093724245,0.089977346,92.9941275,93.35707887
70,70,95.19688857,99.10737368,0.5,0.5,0,1,1,0.089978261,0.086259995,0.089977346,0.086259238,100.3294105,100.5578438
70,70,99.10737368,103.3568058,0.5,0.5,0,1,1,0.086259995,0.082564829,0.086259238,0.082564182,108.7140883,108.8333573
70,70,103.3568058,107.9963174,0.5,0.5,0,1,1,0.082564829,0.078886871,0.082564182,0.078886298,118.3683124,118.4000486
70,70,107.9963174,113.0882684,0.5,0.5,0,1,1,0.078886871,0.075220028,0.078886298,0.075219501,129.5731694,129.536209
70,70,113.0882684,118.7095703,0.5,0.5,0,1,1,0.075220028,0.071557922,0.075219501,0.071557423,142.6925914,142.6035895
70,70,118.7095703,124.9562822,0.5,0.5,0,1,1,0.071557922,0.067893801,0.071557423,0.067893316,158.2050935,158.0789439
70,70,124.9562822,131.9500886,0.5,0.5,0,1,1,0.067893801,0.064220406,0.067893316,0.064219927,176.7507642,176.6009007
70,70,131.9500886,139.8476356,0.5,0.5,0,1,1,0.064220406,0.060529821,0.064219927,0.060529344,199.2025762,199.0412028
70,70,139.8476356,148.8543261,0.5,0.5,0,1,1,0.060529821,0.056813265,0.060529344,0.056812789,226.7776685,226.6159495
70,70,148.8543261,159.2453004,0.5,0.5,0,1,1,0.056813265,0.05306082,0.056812789,0.053060346,261.2166536,261.0648771
70,70,159.2453004,171.3984319,0.5,0.5,0,1,1,0.05306082,0.049261056,0.053060346,0.049260587,305.0834258,304.9511356
70,70,171.3984319,185.8483024,0.5,0.5,0,1,1,0.049261056,0.045400499,0.049260587,0.045400039,362.2887029,362.1847496
70,70,185.8483024,203.3787513,0.5,0.5,0,1,1,0.045400499,0.041462864,0.045400039,0.041462418,439.0527818,438.9851607
70,70,203.3787513,225.1909242,0.5,0.5,0,1,1,0.041462864,0.037427874,0.041462418,0.037427448,545.7907196,545.7659269
70,70,225.1909242,253.2309977,0.5,0.5,0,1,1,0.037427874,0.03326938,0.037427448,0.033268981,701.1039912,701.1255955
70,70,253.2309977,290.8907277,0.5,0.5,0,1,1,0.03326938,0.028952157,0.033268981,0.028951792,941.1280305,941.1951178
70,70,290.8907277,344.7008089,0.5,0.5,0,1,1,0.028952157,0.024425947,0.028951792,0.024425625,1344.606249,1344.717512
70,70,344.7008089,429.2066067,0.5,0.5,0,1,1,0.024425947,0.019613047,0.024425625,0.019612769,2114.712212,2114.802273
70,70,429.2066067,585.450319,0.5,0.5,0,1,1,0.019613047,0.014377356,0.019612769,0.014377189,3940.125568,3940.456567
70,70,585.450319,1000,0.5,0.5,0,1,1,0.014377356,0.008417292,0.014377189,0.008417176,10812.89254,10812.94162
70,91.57805598,1000,68,0.5,0.5,0,0,0,0.008417292,32.78863653,0.008417176,32.78925544,-30532.88376,-30459.78322
91.57805598,91.57805598,68,70.04454961,0.5,0.5,0,0,0,32.78863653,32.55915626,32.78925544,32.55950155,224.6915898,137.6748898
91.57805598,91.57805598,70.04454961,72.20151826,0.5,0.5,0,0,0,32.55915626,32.30215002,32.55950155,32.302309,200.0635006,139.8411905
91.57805598,91.57805598,72.20151826,74.48170837,0.5,0.5,0,0,0,32.30215002,32.01620323,32.302309,32.01625509,181.452913,143.08236
91.57805598,91.57805598,74.48170837,76.8974107,0.5,0.5,0,0,0,32.01620323,31.69933988,32.01625509,31.69935742,168.2473584,147.4767619
91.57805598,91.57805598,76.8974107,79.46267512,0.5,0.5,0,0,0,31.69933988,31.34889496,31.69935742,31.34894647,159.9340277,153.1230382
91.57805598,91.57805598,79.46267512,82.19364377,0.5,0.5,0,0.915384012,0.867546436,31.34889496,0.151587296,31.34894647,0.159899062,5588.01136,5412.20592
91.57805598,91.57805598,82.19364377,85.10896368,0.5,0.5,0,1,1,0.151587296,0.133595923,0.159899062,0.133593521,606.2977147,920.2148076
91.57805598,91.57805598,85.10896368,88.23030246,0.5,0.5,0,1,1,0.133595923,0.128451976,0.133593521,0.128450213,81.7948976,82.82622185
91.57805598,91.57805598,88.23030246,91.58299845,0.5,0.5,0,1,1,0.128451976,0.123377118,0.128450213,0.123375827,87.49595869,88.22993637
91.57805598,91.57805598,91.58299845,95.19688857,0.5,0.5,0,1,1,0.123377118,0.118362351,0.123375827,0.118361398,93.92979706,94.42935824
91.57805598,91.57805598,95.19688857,99.10737368,0.5,0.5,0,1,1,0.118362351,0.11339878,0.118361398,0.113398061,101.2369311,101.5497773
91.57805598,91.57805598,99.10737368,103.3568058,0.5,0.5,0,1,1,0.11339878,0.108477543,0.113398061,0.10847698,109.5922859,109.756146
91.57805598,91.57805598,103.3568058,107.9963174,0.5,0.5,0,1,1,0.108477543,0.103589726,0.10847698,0.103589259,119.2162594,119.2620966
91.57805598,91.57805598,107.9963174,113.0882684,0.5,0.5,0,1,1,0.103589726,0.098726261,0.103589259,0.098725845,130.390156,130.3441643
91.57805598,91.57805598,113.0882684,118.7095703,0.5,0.5,0,1,1,0.098726261,0.093877816,0.098725845,0.09387742,143.478104,143.3629722
91.57805598,91.57805598,118.7095703,124.9562822,0.5,0.5,0,1,1,0.093877816,0.089034653,0.09387742,0.089034256,158.9587984,158.7945287
